Latitude,Longitude,Tipo,Nome
-12.9975957,-38.4544222,atm,Banco24Horas
-12.9999545,-38.4546774,pharmacy,Multimais
-12.9998721,-38.4546532,atm,Banco24Horas
-13.0044335,-38.4587780,restaurant,O Rancho
-12.9933531,-38.4607431,bar,Atoa Lounge
-12.9933948,-38.4606315,ice_cream,San Paolo Gelato & Café
-12.9939434,-38.4600804,restaurant,Puro Healthy Food
-12.9940246,-38.4599554,pharmacy,Pague Menos
-12.9928914,-38.4610330,fast_food,Açaí & Saúde
-12.9901128,-38.4536090,restaurant,Pizza Hut
-12.9922957,-38.4611330,restaurant,Saúde na Panela
-12.9957448,-38.4709636,restaurant,Cantina Volpi
-12.9949054,-38.4716241,restaurant,Soho
-12.9955989,-38.4689135,clinic,Nutriderm
-13.0033668,-38.4518503,restaurant,Vila do Caranguejo
-12.9954854,-38.4646799,restaurant,Caminho de casa
-12.9956390,-38.4688118,restaurant,Healthy por VC
-12.9956592,-38.4693246,pharmacy,Drogaria São Paulo
-12.9952275,-38.4647745,atm,Banco24Horas
-12.9917379,-38.4611148,fast_food,Ciciliotti
-12.9962176,-38.4640900,fast_food,Subway
-12.9896969,-38.4596345,restaurant,Cazolla
-12.9935378,-38.4591660,kindergarten,Escola Creche Joãozinho e Maria
-12.9927778,-38.4610473,university,Faculdade Lusófona Bahia
-13.0029588,-38.4633320,atm,Banco24Horas
-13.0057854,-38.4618535,fast_food,Paçaki
-13.0031145,-38.4633295,pharmacy,Multifarma
-12.9909944,-38.4606533,school,Crescer
-12.9904830,-38.4540199,pharmacy,Pague Menos
-12.9896882,-38.4594372,pharmacy,Farmô
-12.9902096,-38.4599126,restaurant,Boteco da Lambreta
-12.9896842,-38.4593364,clinic,Primagem
-12.9910353,-38.4604246,bar,Cau Botequim
-13.0023308,-38.4574236,veterinary,Pet Klinic
-13.0000008,-38.4568270,restaurant,Sal Marinho
-13.0043038,-38.4576511,pharmacy,Drogasil
-12.9941830,-38.4591781,cafe,Solange Biscoitos Finos
-12.9940273,-38.4598163,pharmacy,Drogaria São Paulo
-12.9962278,-38.4637262,bank,Banco do Brasil
-12.9900115,-38.4589857,dentist,Oral Unic Implantes
-12.9963116,-38.4639934,bank,Caixa Econômica Federal
-12.9923200,-38.4626866,restaurant,Good good
-12.9923486,-38.4627270,pub,Happy Hour
